address/zipcode,median_income
94131,172785
94015,100208
94112,105340
95037,128381
90740,72226
91302,149724
94401,94334
95010,81095
90045,110535
90045,110535
90275,145816
95120,207959
95037,128381
94014,98879
93950,89088
94110,138890
92677,119322
94545,88764
92129,126371
92024,125458
95020,108494
92130,157333
90291,99496
95062,88204
93117,70878
92129,126371
90278,126979
90275,145816
94403,139631
92865,107706
90803,92230
92011,115301
90278,126979
90808,111163
94541,82690
95003,115633
94544,89657
92024,125458
94116,119800
92867,103040
94538,119206
91754,66218
91754,66218
92130,157333
94116,119800
90278,126979
94403,139631
92024,125458
90277,104859
90720,109847
94563,231373
94539,188596
95050,102000
91011,170571
95062,88204
92831,80279
94403,139631
94538,119206
90275,145816
95003,115633
92024,125458
94538,119206
95037,128381
92024,125458
94542,115956
92127,147827
92128,104501
91775,94024
95054,158212
94063,80313
90045,110535
92807,120435
95062,88204
94542,115956
94080,106352
92677,119322
92821,96700
94536,132568
94404,155789
92009,138138
91405,49232
92129,126371
95003,115633
91367,95212
92129,126371
92663,106209
94066,112933
90066,87589
94538,119206
91011,170571
94563,231373
92011,115301
94122,122144
94403,139631
94117,167807
90815,100034
92131,137987
94539,188596
92821,96700
90815,100034
91754,66218
94563,231373
92845,105189
93105,103156
90720,109847
93950,89088
90291,99496
93311,93200
94134,82810
94539,188596
94061,119370
93933,73856
93001,66460
92870,100685
91436,153304
93111,117480
91436,153304
92024,125458
92024,125458
92127,147827
90291,99496
94404,155789
94127,176025
90277,104859
92011,115301
92011,115301
94403,139631
92009,138138
94110,138890
90275,145816
95003,115633
91367,95212
94536,132568
92807,120435
91321,74986
90803,92230
93003,81501
90740,72226
90720,109847
90277,104859
94403,139631
94066,112933
92867,103040
95062,88204
90275,145816
90720,109847
92840,75653
92807,120435
90803,92230
94132,82557
91302,149724
94062,184479
92011,115301
94563,231373
94539,188596
92677,119322
93955,68772
95037,128381
92867,103040
91205,47160
92860,106065
90275,145816
92064,115391
92011,115301
91302,149724
92677,119322
93950,89088
90720,109847
92129,126371
90066,87589
94536,132568
